,product_name,product_full_price,product_off_price,product_discount,shop_loc,shop_name,avg_rating,sold,sold_is_more,category_name
0,"Xiaomi Redmi Watch 4 Layar AMOLED 1,97"" ultra-lebar",1118750,0,0,Jakarta Barat,Golden Mouse,0.0,0,0,Wearable Device
1,Xiaomi Watch S3 Smartwatch - Garansi Resmi Xiaomi Indonesia,1789000,1759000,30000,Jakarta Selatan,GeekyTech Official,5.0,17 ,0,Wearable Device
2,"Xiaomi Mi Watch S3 Smartwatch 1.43"" AMOLED - Garansi Resmi",3599000,1699000,1900000,Jakarta Utara,Oriloka Shop,5.0,50,1,Wearable Device
3,Ringke Xiaomi Mi Watch Bezel Styling Stainless Steel Anti Crack Slim,225000,188850,36150,Jakarta Utara,Official Ringke Partner,4.9,22 ,0,Wearable Device
4,Xiaomi Mi Watch 2 Pro Smartwatch Snapdragon W5+ Gen1 - Garansi Resmi,7999000,2969000,5030000,Jakarta Utara,Oriloka Shop,4.9,80,1,Wearable Device
5,Xiaomi Smart Band 8 Pro Garansi Resmi,782000,0,0,Bandung,Antaboga Phone,0.0,0,0,Wearable Device
6,Xiaomi Buds 3 Pro Garansi Resmi,410000,0,0,Jakarta Selatan,Ini Toko Budi,0.0,0,0,Wearable Device
7,Silicone Case Cover Xiaomi RedMi Buds 5 - Carabiner - Free Keychain Soft Cover Casing TWS Shock Proof,65000,64350,650,Bandung,Logay Accessories,0.0,0,0,Wearable Device
8,"Xiaomi Redmi Watch 4 Layar AMOLED 1,97"" ultra-lebar",1118750,0,0,Jakarta Barat,Twins Computer,0.0,0,0,Wearable Device
9,"Xiaomi Mi Watch S3 Bluetooth 5.2 Smart Watch 1.43"" AMOLED",1673250,0,0,Jakarta Barat,Twins Computer,0.0,0,0,Wearable Device
10,Xiaomi Mi Watch Lite Fitness Smartwatch - 11 Mode Olahraga ORIGINAL,803500,0,0,Surabaya,Gaming Plus Store,0.0,0,0,Wearable Device
11,"Xiaomi Mi Smart Band 6 Layar 1,56"" Amoled Smartwatch - ORIGINAL",563000,0,0,Surabaya,Gaming Plus Store,0.0,0,0,Wearable Device
12,Ringke Xiaomi Mi Watch Bezel Styling Stainless Steel Anti Crack Slim,293000,188850,104150,Jakarta Utara,Official Store Ringke,0.0,0,0,Wearable Device
13,Ringke Xiaomi Watch S1 46.5mm Tempered Glass Bezel Styling Anti Gores,117000,75000,42000,Jakarta Utara,Official Store Ringke,0.0,0,0,Wearable Device
14,LP HD Tempered Glass Xiaomi Watch S3 - Anti Gores Layar Kaca Screen Guard Fit Cover Protector Clear,55000,54450,550,Bandung,Logay Accessories,0.0,0,0,Wearable Device
15,Xiaomi Mi Watch 2 Smartwatch Snapdragon W5+ Gen1 ,2320500,0,0,Jakarta Barat,Golden Mouse,0.0,0,0,Wearable Device
16,Xiaomi Mi Watch 2 Smartwatch Snapdragon W5+ Gen1 - Garansi Resmi,6499000,2369000,4130000,Jakarta Utara,Oriloka Shop,5.0,70,1,Wearable Device
17,Ringke Xiaomi Mi Watch Bezel Styling Silver Stainless Steel Anti Crack,225000,188850,36150,Jakarta Utara,showcasefever,5.0,4 ,0,Wearable Device
18,Strap Gradation Color Transparent/Clear Rubber For XIAOMI Mi Band 5,50000,25000,25000,Jakarta Utara,Cubus_Co_ID,4.9,100,1,Wearable Device
19,"Xiaomi Redmi Watch 4 Layar AMOLED 1,97"" ultra-lebar",1118750,0,0,Jakarta Barat,Twins Computer,0.0,0,0,Wearable Device
20,Hard 2 in 1 Case n Tempered Glass Xiaomi Watch S3 - Full Casing Clear Screen Cover Protector Fit Shock Proof,75000,74250,750,Bandung,Logay Accessories,0.0,0,0,Wearable Device
21,Full TPU Case Xiaomi Watch S3 - Full Casing Clear Screen Cover Protector Fit Shock Proof,65000,64350,650,Bandung,Logay Accessories,0.0,0,0,Wearable Device
22,Xiaomi Mi Watch 2 Smartwatch Snapdragon W5+ Gen1 ,2320500,0,0,Jakarta Barat,Golden Mouse,0.0,0,0,Wearable Device
23,Xiaomi Redmi Watch 3 Active Smartwatch Microphone Built-In Garansi Resmi,699000,420000,279000,Jakarta Pusat,Digitalisme,0.0,0,0,Wearable Device
24,Xiaomi Mi Watch 2 Smartwatch Snapdragon W5+ Gen1 ,2320500,0,0,Jakarta Barat,Cemara Mas Indah,0.0,0,0,Wearable Device
25,Xiaomi Mi Watch 2 Smartwatch Snapdragon W5+ Gen1 ,2320500,0,0,Jakarta Barat,Aquarius Official,0.0,0,0,Wearable Device
26,"Xiaomi Redmi Watch 4 Layar AMOLED 1,97"" ultra-lebar",1118750,0,0,Jakarta Barat,Cemara Mas Indah,5.0,1 ,0,Wearable Device
27,"Xiaomi Mi Watch S3 Bluetooth 5.2 Smart Watch 1.43"" AMOLED",1673250,0,0,Jakarta Barat,Cemara Mas Indah,0.0,0,0,Wearable Device
28,Xiaomi Smart Band 8 Pro AMOLED Display,752000,0,0,Jakarta Barat,Twins Computer,5.0,2 ,0,Wearable Device
29,Xiaomi Smart Band 8 Pro AMOLED Display,752000,0,0,Jakarta Barat,Cemara Mas Indah,0.0,0,0,Wearable Device
30,"Xiaomi Redmi Watch 4 Layar AMOLED 1,97"" ultra-lebar",1118750,0,0,Jakarta Barat,Golden Mouse,0.0,0,0,Wearable Device
31,"Xiaomi Mi Watch S3 Bluetooth 5.2 Smart Watch 1.43"" AMOLED",1673250,0,0,Jakarta Barat,Golden Mouse,0.0,0,0,Wearable Device
32,Xiaomi Smart Band 8 Pro AMOLED Display,752000,0,0,Jakarta Barat,Golden Mouse,0.0,0,0,Wearable Device
33,Xiaomi Mi Band 8 Pro Smart Band Garansi Resmi,868000,0,0,Jakarta Pusat,Gudang-HP,0.0,0,0,Wearable Device
34,"Xiaomi Redmi Watch 4 Layar AMOLED 1,97"" ultra-lebar",1118750,0,0,Jakarta Barat,Aquarius Official,5.0,1 ,0,Wearable Device
35,"Xiaomi Mi Watch S3 Bluetooth 5.2 Smart Watch 1.43"" AMOLED",1673250,0,0,Jakarta Barat,Aquarius Official,0.0,3 ,0,Wearable Device
36,Xiaomi Smart Band 8 Pro AMOLED Display,752000,0,0,Jakarta Barat,Aquarius Official,0.0,0,0,Wearable Device
37,Xiaomi Smart Band 8 Pro Resmi,799000,0,0,Semarang,Hape Joss,0.0,0,0,Wearable Device
38,Xiaomi Smart Band 8 Active,899000,0,0,Jakarta Pusat,OKESHOP,0.0,0,0,Wearable Device
39,"Xiaomi Watch 2 Mi Smartwatch versi Global, layar AMOLED 1.43"" 32GB Qualcomm Snapdragon W5",2389000,2338000,51000,Jakarta Utara,Xiaovv Official Store,0.0,0,0,Wearable Device
40,Xiaomi Watch 2 Smartwatch Jam Pintar Snapdragon 1.43 Inch AMOLED Wear OS ,2499000,2369000,130000,Jakarta Utara,ST-Toms.co,0.0,0,0,Wearable Device
41,"Xiaomi Watch 2 Pro 2Pro Smart Watch Jam Tangan Pintar AMOLED 1,43"" Wear OS GPS Fitness Tracker 5 ATM SP02",3199000,2959000,240000,Jakarta Utara,ST-Toms.co,0.0,0,0,Wearable Device
42,Xiaomi Mi Watch 2 Smartwatch Snapdragon W5+ Gen1 - Garansi Resmi,6499000,2369000,4130000,Jakarta Utara,Inovtek Sentra Global,0.0,0,0,Wearable Device
43,"Xiaomi Watch 2 1,43'' inch AMOLED Display with Snapdragon and OS Google",4998000,2499000,2499000,Jakarta Barat,HangOn Official Store,0.0,0,0,Wearable Device
44,"Xiaomi Watch S3 Layar AMOLED 1,43""",1684000,0,0,Jakarta Pusat,Mitra Ecomm,0.0,0,0,Wearable Device
45,"Smart Watch Xiaomi S3 Layar AMOLED 1,43""",1684000,0,0,Surabaya,Surya Mitra Online,5.0,1 ,0,Wearable Device
46,"Xiaomi Watch S3 Layar AMOLED 1,43""",1684000,0,0,Surabaya,Gaming Plus Store,5.0,2 ,0,Wearable Device
47,Silicone Case Cover Xiaomi RedMi Buds 5 Pro - Carabiner - Soft Cover Casing with Keychain Free Shock Proof Black Blue Green,65000,64350,650,Bandung,Logay Accessories,0.0,2 ,0,Wearable Device
48,Xiaomi Watch 2 Smartwatch 1.43 inch AMOLED Qualcomm Snapdragon® W5+ Gen 1 5ATM,2485000,0,0,Jakarta Utara,venus mobile,0.0,0,0,Wearable Device
49,Xiaomi Redmi Watch 3 Active Display 1.83 Inci Garansi Resmi,499000,0,0,Bandung,Rajaponsel Official,0.0,0,0,Wearable Device
50,Xiaomi Mi Watch 2 Smartwatch Snapdragon W5+ Gen1 - Garansi Resmi,6499000,2369000,4130000,Jakarta Utara,Oriloka Shop,5.0,70,1,Wearable Device
51,Xiaomi Mi Band 8 Pro / Smart Band 8 Pro 8Pro Amoled Garansi Resmi,759000,0,0,Bekasi,Angel Phone Shop,0.0,2 ,0,Wearable Device
52,Xiaomi Mi Band 8 Pro / Smart Band 8 Pro 8Pro Amoled Garansi Resmi,759000,0,0,Bekasi,PREMIUM OFFICIAL STORE,0.0,0,0,Wearable Device
53,Xiaomi Mi Band 8 Pro / Smart Band 8 Pro 8Pro Amoled Garansi Resmi,759000,0,0,Bekasi,Shadow Gold,0.0,0,0,Wearable Device
54,Xiaomi Redmi Watch 3 Active Tahan Air 5ATM Garansi Resmi,449000,0,0,Bekasi,Angel Phone Shop,0.0,0,0,Wearable Device
55,Xiaomi Redmi Watch 3 Active Tahan Air 5ATM Garansi Resmi,449000,0,0,Bekasi,PREMIUM OFFICIAL STORE,5.0,1 ,0,Wearable Device
56,Xiaomi Redmi Watch 3 Active Tahan Air 5ATM Garansi Resmi,449000,0,0,Bekasi,Shadow Gold,0.0,0,0,Wearable Device
57,Xiaomi Redmi Watch 4 Garansi Resmi,1159000,0,0,Bekasi,Angel Phone Shop,0.0,0,0,Wearable Device
58,Xiaomi Redmi Watch 4 Garansi Resmi,1159000,0,0,Bekasi,PREMIUM OFFICIAL STORE,0.0,0,0,Wearable Device
59,Xiaomi Redmi Watch 4 Garansi Resmi,1159000,0,0,Bekasi,Shadow Gold,0.0,0,0,Wearable Device
60,"Xiaomi Smart band 8 Pro 1.74"" AMOLED Display 5ATM built-in GNSS Miband",775000,0,0,Jakarta Utara,venus mobile,0.0,0,0,Wearable Device
61,Xiaomi Smart Band 8 Pro Garansi Resmi Original Smart Watch 5ATM water resistance AMOLED display,799000,0,0,Denpasar,Diamond Handphone Bali,5.0,2 ,0,Wearable Device
62,"Xiaomi Mi Redmi Smart Watch 2 Amoled 1.43"" 5 ATM Wireless Bluetooth Garansi Resmi",2350000,0,0,Jakarta Pusat,Multifungsi,0.0,0,0,Wearable Device
63,"Xiaomi Mi Redmi Smart Watch 2 Amoled 1.43"" 5 ATM Wireless Bluetooth Garansi Resmi",2350000,0,0,Jakarta Pusat,Multifungsi Online,0.0,0,0,Wearable Device
64,"Xiaomi Watch S3 Smartwatch 1.43"" AMOLED",1669000,0,0,Jakarta Pusat,Indokom Store,0.0,1 ,0,Wearable Device
65,"Xiaomi Mi Redmi Smart Band 8 Pro 1.74"" Amoled 5 ATM Wireless Bluetooth Garansi Resmi",745000,0,0,Jakarta Pusat,Multifungsi,5.0,2 ,0,Wearable Device
66,"Xiaomi Mi Redmi Smart Band 8 Pro 1.74"" Amoled 5 ATM Wireless Bluetooth Garansi Resmi",745000,0,0,Jakarta Pusat,Multifungsi Online,0.0,0,0,Wearable Device
67,Xiaomi Watch S3,1659000,0,0,Jakarta Pusat,MII Store,5.0,7 ,0,Wearable Device
68,"Xiaomi Smart Band 8 Pro Layar AMOLED 1,74"" 5 ATM 289mAh -Garansi Resmi",799000,0,0,Denpasar,Doran Gadget Bali,0.0,0,0,Wearable Device
